Designator,Mid X,Mid Y,Rotation,Layer
C1,45.4,34.4,0.0,top
C2,45.4,36.0,180.0,top
C3,7.2,26.0,180.0,top
C4,25.05,23.9,270.0,top
C5,41.1,23.9,270.0,top
C6,25.05,21.0,90.0,top
C7,41.1,21.05,90.0,top
FID1,10.0,55.0,0.0,top
FID2,60.0,55.0,0.0,top
FID3,10.0,10.0,0.0,top
R1,52.1,38.1,90.0,top
R10,15.75,35.375,90.0,top
R11,13.95,35.375,90.0,top
R12,7.2,34.8,0.0,top
R2,54.1,38.1,270.0,top
R3,41.185,63.0,180.0,top
R5,14.9,28.9,180.0,top
R6,28.24,15.46,0.0,top
R7,31.24,15.46,0.0,top
R8,44.24,15.46,0.0,top
R9,47.24,15.46,0.0,top
